Country,B-G Namespace,Year,Air Quality Network,Air Quality Network Name,Timezone,Air Quality Station EoI Code,Air Quality Station Nat Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Longitude,Latitude,Altitude,Altitude Unit,Air Quality Station Area,Air Quality Station Type,Operational Activity Begin,Operational Activity End,Sample Id,Inlet Height,Inlet Height Unit,Building Distance,Building Distance Unit,Kerb Distance,Kerb Distance Unit,Distance Source,Distance Source Unit,Main Emission Sources,Heating Emissions,Heating Emissions Unit,Mobile,Traffic Emissions,Traffic Emissions Unit,Industrial Emissions,Industrial Emissions Unit,Municipality,Dispersion Local,Dispersion Regional,Distance Junction,Distance Junction Unit,Heavy Duty Fraction,Height Facades,Street Width,Traffic Speed,Traffic Volume,Process Id,Process Activity Begin,Process Activity End,Measurement Type,Measurement Method,Other Measurement Method,Measurement Equipment,Other Measurement Equipment,Sampling Method,Other Sampling Method,Analytical Technique,Other Analytical Technique,Equivalence Demonstrated,Demonstration Report,Detection Limit,Detection Limit Unit,Documentation,QA Report,Duration,Duration Unit,Cadence,Cadence Unit,Source Data URL,Imported
"Belgium","BE.CELINE-IRCEL.AQ","2024","NET-Brussels","Brussels","UTC","BETB005","41B005","41B005 - BELLIARD","SPO-BETB005_00038_100","NO","4.37875","50.84015","51.0","m","urban","background","01/10/2001 00:00:00","16/10/2012 00:00:00","SAM-BETB005_00038","3.0","m","","","","","","","Other","","","0","","","","","Brussel=Bruxelles","","","","","","","","","","SPP-BETB005_00038_1","01/10/2001 00:00:00","","automatic","other","","","","","","","","ref","","2","ug.m-3","","http://report.irceline.be/qa/","1","hour","1","hour","http://cdr.eionet.europa.eu/be/eu/aqd/d/envam0krq/BE_D_methods_2025_v4.xml","20/09/2025 14:00:15"
"Belgium","BE.CELINE-IRCEL.AQ","2024","NET-Brussels","Brussels","UTC","BETB006","41B006","41B006 - PARL.EUROPE","SPO-BETB006_00007_100","O3","4.37439","50.83864","67.0","m","urban","background","01/09/2001 00:00:00","08/07/2016 00:00:00","SAM-BETB006_00007","3.0","m","","","","","","","Other","","","0","","","","","Brussel=Bruxelles","","","","","","","","","","SPP-BETB006_00007_1","01/09/2001 00:00:00","","automatic","UV-P","","","","","","","","ref","","2","ug.m-3","","http://report.irceline.be/qa/","1","hour","1","hour","http://cdr.eionet.europa.eu/be/eu/aqd/d/envam0krq/BE_D_methods_2025_v4.xml","20/09/2025 14:00:15"
"Belgium","BE.CELINE-IRCEL.AQ","2024","NET-Brussels","Brussels","UTC","BETB006","41B006","41B006 - PARL.EUROPE","SPO-BETB006_00008_100","NO2","4.37439","50.83864","67.0","m","urban","background","01/09/2001 00:00:00","","SAM-BETB006_00008","3.0","m","","","","","","","Other","","","0","","","","","Brussel=Bruxelles","","","","","","","","","","SPP-BETB006_00008_1","01/09/2001 00:00:00","","automatic","chemi","","","","","","","","ref","","3","ug.m-3","","http://report.irceline.be/qa/","1","hour","1","hour","http://cdr.eionet.europa.eu/be/eu/aqd/d/envam0krq/BE_D_methods_2025_v4.xml","20/09/2025 14:00:15"
"Belgium","BE.CELINE-IRCEL.AQ","2024","NET-Brussels","Brussels","UTC","BETB006","41B006","41B006 - PARL.EUROPE","SPO-BETB006_00010_100","CO","4.37439","50.83864","67.0","m","urban","background","01/09/2001 00:00:00","","SAM-BETB006_00010","3.0","m","","","","","","","Other","","","0","","","","","Brussel=Bruxelles","","","","","","","","","","SPP-BETB006_00010_1","01/09/2001 00:00:00","","automatic","NDIR","","","","","","","","ref","","1","ug.m-3","","http://report.irceline.be/qa/","1","hour","1","hour","http://cdr.eionet.europa.eu/be/eu/aqd/d/envam0krq/BE_D_methods_2025_v4.xml","20/09/2025 14:00:15"
"Belgium","BE.CELINE-IRCEL.AQ","2024","NET-Brussels","Brussels","UTC","BETB006","41B006","41B006 - PARL.EUROPE","SPO-BETB006_00020_100","C6H6","4.37439","50.83864","67.0","m","urban","background","01/11/2002 00:00:00","","SAM-BETB006_00020","3.0","m","","","","","","","Other","","","0","","","","","Brussel=Bruxelles","","","","","","","","","","SPP-BETB006_00020_1","01/11/2002 00:00:00","","automatic","GC-MS","","","","","","","","ref","","1","ug.m-3","","http://report.irceline.be/qa/","1","hour","1","hour","http://cdr.eionet.europa.eu/be/eu/aqd/d/envam0krq/BE_D_methods_2025_v4.xml","20/09/2025 14:00:15"
"Belgium","BE.CELINE-IRCEL.AQ","2024","NET-Brussels","Brussels","UTC","BETB006","41B006","41B006 - PARL.EUROPE","SPO-BETB006_00021_100","C6H5-CH3","4.37439","50.83864","67.0","m","urban","background","01/11/2002 00:00:00","","SAM-BETB006_00021","3.0","m","","","","","","","Other","","","0","","","","","Brussel=Bruxelles","","","","","","","","","","SPP-BETB006_00021_1","01/11/2002 00:00:00","","automatic","other","","","","","","","","ref","","1","ug.m-3","","http://report.irceline.be/qa/","1","hour","1","hour","http://cdr.eionet.europa.eu/be/eu/aqd/d/envam0krq/BE_D_methods_2025_v4.xml","20/09/2025 14:00:15"
"Belgium","BE.CELINE-IRCEL.AQ","2024","NET-Brussels","Brussels","UTC","BETB006","41B006","41B006 - PARL.EUROPE","SPO-BETB006_00038_100","NO","4.37439","50.83864","67.0","m","urban","background","01/09/2001 00:00:00","","SAM-BETB006_00038","3.0","m","","","","","","","Other","","","0","","","","","Brussel=Bruxelles","","","","","","","","","","SPP-BETB006_00038_1","01/09/2001 00:00:00","","automatic","chemi","","","","","","","","ref","","2","ug.m-3","","http://report.irceline.be/qa/","1","hour","1","hour","http://cdr.eionet.europa.eu/be/eu/aqd/d/envam0krq/BE_D_methods_2025_v4.xml","20/09/2025 14:00:15"
"Belgium","BE.CELINE-IRCEL.AQ","2024","NET-Brussels","Brussels","UTC","BETB006","41B006","41B006 - PARL.EUROPE","SPO-BETB006_00431_100","C6H5-C2H5","4.37439","50.83864","67.0","m","urban","background","01/11/2002 00:00:00","","SAM-BETB006_00431","3.0","m","","","","","","","Other","","","0","","","","","Brussel=Bruxelles","","","","","","","","","","SPP-BETB006_00431_1","01/11/2002 00:00:00","","automatic","other","","","","","","","","ref","","1","ug.m-3","","http://report.irceline.be/qa/","1","hour","1","hour","http://cdr.eionet.europa.eu/be/eu/aqd/d/envam0krq/BE_D_methods_2025_v4.xml","20/09/2025 14:00:15"
"Belgium","BE.CELINE-IRCEL.AQ","2024","NET-Flanders","Flanders","UTC","BEPR701","60R701","60R701 - GENT","SPO-BEPR701_00715_100","Pyrene","3.72930","51.05833","5.0","m","urban","background","01/01/2010 00:00:00","","SAM-BEPR701_00715","2.0","m","","","","","","","Other","","","0","","","","","Gent","","","","","","","","","","SPP-BEPR701_00715_1","01/01/2010 00:00:00","","automatic","other","","","","","","","","ref","","1","ng.m-3","","http://report.irceline.be/qa/","1","day","4","day","http://cdr.eionet.europa.eu/be/eu/aqd/d/envam0krq/BE_D_methods_2025_v4.xml","20/09/2025 14:00:15"
"Belgium","BE.CELINE-IRCEL.AQ","2024","NET-Flanders","Flanders","UTC","BEPR701","60R701","60R701 - GENT","SPO-BEPR701_00763_100","Dibenzo(ah)anthracene","3.72930","51.05833","5.0","m","urban","background","01/01/2010 00:00:00","","SAM-BEPR701_00763","2.0","m","","","","","","","Other","","","0","","","","","Gent","","","","","","","","","","SPP-BEPR701_00763_1","01/01/2010 00:00:00","","automatic","other","","","","","","","","ref","","1","ng.m-3","","http://report.irceline.be/qa/","1","day","4","day","http://cdr.eionet.europa.eu/be/eu/aqd/d/envam0krq/BE_D_methods_2025_v4.xml","20/09/2025 14:00:15"
