Air Pollutant,Air Quality Station Name,Air Quality Station Type,Air Quality Network Name,Longitude,Latitude,HubName,HubDist,Pollutant_Group,In_Particulates
NO,41B005 - BELLIARD,background,Brussels,4.37875,50.84015,w28669727,3534.672126,Nitrogen compounds,FALSE
O3,41B006 - PARL.EUROPE,background,Brussels,4.37439,50.83864,w28669727,3573.618235,Others,FALSE
NO2,41B006 - PARL.EUROPE,background,Brussels,4.37439,50.83864,w28669727,3573.618235,Nitrogen compounds,FALSE
CO,41B006 - PARL.EUROPE,background,Brussels,4.37439,50.83864,w28669727,3573.618235,Others,FALSE
C6H6,41B006 - PARL.EUROPE,background,Brussels,4.37439,50.83864,w28669727,3573.618235,Volatile organic compounds,FALSE
C6H5-CH3,41B006 - PARL.EUROPE,background,Brussels,4.37439,50.83864,w28669727,3573.618235,Volatile organic compounds,FALSE
NO,41B006 - PARL.EUROPE,background,Brussels,4.37439,50.83864,w28669727,3573.618235,Nitrogen compounds,FALSE
C6H5-C2H5,41B006 - PARL.EUROPE,background,Brussels,4.37439,50.83864,w28669727,3573.618235,Volatile organic compounds,FALSE
"m,p-C6H4(CH3)2",41B006 - PARL.EUROPE,background,Brussels,4.37439,50.83864,w28669727,3573.618235,Volatile organic compounds,FALSE
o-C6H4-(CH3)2,41B006 - PARL.EUROPE,background,Brussels,4.37439,50.83864,w28669727,3573.618235,Volatile organic compounds,FALSE
SO2,41B008 - Brussel (Beliardstraat),traffic,Brussels,4.37585,50.84087,w28669727,3378.859952,Sulphur compounds,FALSE
NO2,41B008 - Brussel (Beliardstraat),traffic,Brussels,4.37585,50.84087,w28669727,3378.859952,Nitrogen compounds,FALSE
CO,41B008 - Brussel (Beliardstraat),traffic,Brussels,4.37585,50.84087,w28669727,3378.859952,Others,FALSE
C6H6,41B008 - Brussel (Beliardstraat),traffic,Brussels,4.37585,50.84087,w28669727,3378.859952,Volatile organic compounds,FALSE
C6H5-CH3,41B008 - Brussel (Beliardstraat),traffic,Brussels,4.37585,50.84087,w28669727,3378.859952,Volatile organic compounds,FALSE
NO,41B008 - Brussel (Beliardstraat),traffic,Brussels,4.37585,50.84087,w28669727,3378.859952,Nitrogen compounds,FALSE
C6H5-C2H5,41B008 - Brussel (Beliardstraat),traffic,Brussels,4.37585,50.84087,w28669727,3378.859952,Volatile organic compounds,FALSE
"m,p-C6H4(CH3)2",41B008 - Brussel (Beliardstraat),traffic,Brussels,4.37585,50.84087,w28669727,3378.859952,Volatile organic compounds,FALSE
o-C6H4-(CH3)2,41B008 - Brussel (Beliardstraat),traffic,Brussels,4.37585,50.84087,w28669727,3378.859952,Volatile organic compounds,FALSE
SO2,41B011 - BERCHEM S.A,background,Brussels,4.28871,50.85781,w975314733,4135.75472,Sulphur compounds,FALSE
PM10,41B011 - BERCHEM S.A,background,Brussels,4.28871,50.85781,w975314733,4135.75472,Particulates,TRUE
PM10,41B011 - BERCHEM S.A,background,Brussels,4.28871,50.85781,w975314733,4135.75472,Particulates,TRUE
O3,41B011 - BERCHEM S.A,background,Brussels,4.28871,50.85781,w975314733,4135.75472,Others,FALSE
SO2,21ANDE - ANDERLECHT,background,Brussels,4.32872,50.83915,w39018402,2827.891685,Sulphur compounds,FALSE
SO2,21B004 - STE.CATHERI,background,Brussels,4.34859,50.85081,w39018402,1116.491264,Sulphur compounds,FALSE
